Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1997-11-04,2134.15,2059.2427239999997,6167.668562,3892.2760399999997,11461.37443,9453.671301999999,4470.7,615.9179690000001,1744.7520000000002
1997-11-05,2136.17,2046.920277,6170.02437,3893.6889899999996,11499.47932,9453.671301999999,4470.5,612.3046879999999,1735.775
1997-11-06,2149.14,2027.4014260000001,6184.240455,3895.097118,11455.65815,9453.671301999999,4417.2,609.4726559999999,1741.201
1997-11-07,2152.82,1995.1158440000002,6184.32169,3896.5132259999996,11331.83099,9453.671301999999,4268.4,602.9296879999999,1750.139
1997-11-10,2152.5,1994.4079530000001,6185.946385,3900.8880130000002,11263.23562,9453.671301999999,4246.5,606.9335940000001,1728.391
1997-11-11,2152.5,1994.4079530000001,6185.946385,3902.375694,11267.05378,9453.671301999999,4209.3,610.6445309999999,1730.227
1997-11-12,2158.64,1967.701584,6192.688871,3903.882118,11034.62825,9453.671301999999,4061.9,601.8554690000001,1725.031
1997-11-13,2162.33,1971.931162,6197.644192,3905.414793,11194.65121,9453.671301999999,4041.0,601.8554690000001,1727.405
1997-11-14,2167.37,1990.818143,6199.431357,3906.9502090000005,11347.07075,9453.671301999999,4079.9,589.3554690000001,1730.598
1997-11-17,2173.33,2010.235302,6207.067425,3911.618376,11556.631159999999,9453.671301999999,4124.3,593.2617190000001,1715.507
1997-11-18,2173.82,2004.017309,6206.823721,3913.2012409999998,11484.23956,9453.671301999999,4072.1,593.9453129999999,1709.6770000000001
1997-11-19,2186.49,2024.806811,6216.978067,3914.783676,11541.3914,9453.671301999999,4058.5,597.5585940000001,1706.046
1997-11-20,2181.39,2036.248589,6212.022746,3916.3581700000004,11716.66509,9453.671301999999,4005.7,591.2109379999999,1690.7320000000002
1997-11-21,2187.5,2036.752111,6219.577579,3917.886086,11796.68206,9453.671301999999,4096.9,593.5546879999999,1703.399
1997-11-24,2175.3,2036.173555,6211.454102000001,3922.6081130000002,11583.30348,9453.671301999999,4019.3,595.703125,1703.245
1997-11-25,2180.92,2039.6379780000002,6214.9471969999995,3924.236264,11613.79397,9453.671301999999,3990.1,587.3046879999999,1695.685
1997-11-26,2187.69,2053.6309309999997,6216.734362,3925.8908939999997,11648.08069,9453.671301999999,4017.6,580.078125,1680.575
1997-11-27,2187.69,2053.6309309999997,6216.734362,3927.5408439999997,11648.08069,9453.671301999999,4072.3,578.125,1680.085
1997-11-28,2185.5,2059.268394,6220.633631000001,3928.8762079999997,11659.51325,9357.299347,4036.7,579.6875,1682.354
1997-12-01,2193.54,2074.126218,6223.395613000001,3932.7951869999997,11960.52319,9357.299347,4010.8,574.9023440000001,1673.2079999999999
1997-12-02,2195.98,2130.7447079999997,6226.157595000001,3934.1204850000004,11888.13159,9357.299347,4059.3,576.3671879999999,1675.4620000000002
1997-12-03,2200.06,2098.0553219999997,6233.549959,3935.7297020000005,11922.4183,9357.299347,4086.3,572.265625,1672.16
1997-12-04,2195.01,2113.260675,6234.5247770000005,3937.958511,11910.99671,9357.299347,4148.2,565.1367190000001,1662.04
1997-12-05,2184.97,2118.3472260000003,6220.3086920000005,3940.546775,12063.405279999999,9357.299347,4156.0,561.328125,1667.57
1997-12-08,2170.34,2111.86365,6209.4232329999995,3947.424335,12029.107590000001,9357.299347,4211.6,561.5234379999999,1672.211
1997-12-09,2172.74,2098.77901,6212.997563,3949.7051899999997,11956.71599,9357.299347,4139.6,553.2226559999999,1662.4720000000002
1997-12-10,2181.77,2069.790012,6226.807474,3952.033893,11853.8339,9357.299347,4078.6,559.1796879999999,1650.829
1997-12-11,2200.17,2047.790085,6248.0097479999995,3954.471161,11651.88789,9357.299347,3921.9,556.25,1645.5829999999999
1997-12-12,2221.44,2043.0105829999998,6269.293258,3956.980354,11674.753009999999,9357.299347,3887.8,552.734375,1640.019
1997-12-15,2212.32,2066.517124,6259.057677000001,3964.35966,11792.87486,9357.299347,3936.1,553.90625,1629.7089999999998
1997-12-16,2216.33,2076.8472070000003,6262.7132409999995,3966.697003,11865.266459999999,9357.299347,3972.8,557.6171879999999,1629.13
1997-12-17,2208.93,2079.48625,6255.564582,3969.03355,11804.307429999999,9357.299347,4034.8,562.2070309999999,1638.513
1997-12-18,2222.43,2065.946467,6268.074736,3969.03355,11689.99277,9357.299347,4026.4,566.40625,1640.85
1997-12-19,2229.47,2052.3800260000003,6279.528838,3974.053018,11602.91,9357.299347,3950.1,564.2578129999999,1634.306
1997-12-22,2238.23,2055.715114,6282.29082,3981.1404820000002,11677.50692,9357.299347,3965.7,567.2851559999999,1623.912
1997-12-23,2235.17,2067.68707,6281.803411999999,3983.5727950000005,11469.01077,9357.299347,3946.3,571.2890629999999,1627.656
1997-12-24,2233.47,2080.129968,6279.528838,3986.85897,11434.58142,9357.299347,3946.5,571.2890629999999,1630.226
1997-12-25,2233.47,2080.129968,6279.528838,3986.85897,11434.58142,9357.299347,3946.5,571.2890629999999,1630.226
1997-12-26,2234.14,2083.763219,6279.853777,3993.792828,11480.48722,9357.299347,4007.3,571.2890629999999,1620.885
1997-12-29,2231.66,2090.906309,6279.122665,4004.0698909999996,11706.198040000001,9357.299347,4067.5,572.3632809999999,1603.0610000000001
1997-12-30,2218.25,2111.1518100000003,6268.968318,4007.5188759999996,11889.821240000001,9357.299347,4114.9,566.796875,1605.2820000000002
